id,Latitude,Longitude,export_Des,export_Con,export_Ins,export_Fac,export_Pro,export_Idi,export_Alt,export_Cod,export_Lat,export_Lon,export_Suo,export_Tar,export_Fot,export_Imm,Area_m2,ORIG_FID,icon_url
"1",45.607355,10.220974,FRECCIA SU SUPPORTO NON IDONEO,sufficiente,Parallelo,Monofacciale,SCONOSCIUTA,VIA REMIDA   fronte  CARICATORE VIA,,Preinsegna Art. 47 c.2,45.607354999999998,10.220974000000000,Pubblico,No,,IMG_2849,4193.306951,"492",./0.png
"1",45.607355,10.220974,FRECCIA SU SUPPORTO NON IDONEO,sufficiente,Parallelo,Monofacciale,SCONOSCIUTA,VIA REMIDA   fronte  CARICATORE VIA,,Preinsegna Art. 47 c.2,45.607354999999998,10.220974000000000,Pubblico,No,,IMG_2849,4086.605177,"575",./0.png
"1",45.607355,10.220974,FRECCIA SU SUPPORTO NON IDONEO,sufficiente,Parallelo,Monofacciale,SCONOSCIUTA,VIA REMIDA   fronte  CARICATORE VIA,,Preinsegna Art. 47 c.2,45.607354999999998,10.220974000000000,Pubblico,No,,IMG_2849,2031.235298,"607",./0.png
"3",45.606606,10.220871,FRECCIA SU SUPPORTO NON IDONEO,sufficiente,Parallelo,Monofacciale,SCONOSCIUTA,VIA CARICATORE   angolo  LODRONE VIA,,Preinsegna Art. 47 c.2,45.606605999999999,10.220871000000001,Privato,No,,IMG_2851,2031.235298,"607",./0.png
"15",45.609257,10.198943,IMPIANTO A CASSONETTO,sufficiente,Perpendicolare,Bifacciale,CANDI,VIA ZAMMARCHI   angolo  MAZZINI  VIA,,Cartello Art. 47 c.4,45.609256999999999,10.198943000000000,Pubblico,Si,IMG_2869,IMG_2868,5309.355390,"206",./0.png
"16",45.609452,10.198991,IMPIANTO DI FRECCE,sufficiente,Parallelo,Monofacciale,SCONOSCIUTA,VIA MAZZINI   angolo  ZAMMARCHI  VIA,,Preinsegna Art. 47 c.2,45.609451999999997,10.198990999999999,Pubblico,No,,IMG_2870,1935.032859,"202",./0.png
"16",45.609452,10.198991,IMPIANTO DI FRECCE,sufficiente,Parallelo,Monofacciale,SCONOSCIUTA,VIA MAZZINI   angolo  ZAMMARCHI  VIA,,Preinsegna Art. 47 c.2,45.609451999999997,10.198990999999999,Pubblico,No,,IMG_2870,606.828963,"515",./0.png
"17",45.609433,10.202175,IMPIANTO DI FRECCE,sufficiente,Perpendicolare,Bifacciale,SCONOSCIUTA,VIA MAZZINI   angolo  MORO VIA,,Preinsegna Art. 47 c.2,45.609433000000003,10.202175000000000,Pubblico,No,,IMG_2871,4792.453492,"205",./0.png
"22",45.611777,10.198552,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,POSTER,VIA SORLINI,90 M DOPO VIA GALILEI,Cartello Art. 47 c.4,45.611776999999996,10.198551999999999,Pubblico,Si,IMG_2878,IMG_2877,2287.356973,"188",./0.png
"31",45.613212,10.197903,CARTELLO PUBBLICITARIO,insufficiente,Perpendicolare,Bifacciale,SCONOSCIUTA,VIA SORLINI,FRONTE PALO LUCE 5030,Cartello Art. 47 c.4,45.613211999999997,10.197903000000000,Pubblico,No,,IMG_2892,4121.386093,"185",./0.png
"43",45.601688,10.194037,IMPIANTO DI FRECCE,sufficiente,Parallelo,Monofacciale,SCONOSCIUTA,VIA GARDENIGA   angolo  VALSORTA VIA,,Preinsegna Art. 47 c.2,45.601688000000003,10.194037000000000,Pubblico,No,,IMG_2910,2605.966233,"359",./0.png
"45",45.600822,10.188568,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,PUBBLIAREA,VIA GARDENIGA,,Cartello Art. 47 c.4,45.600822000000001,10.188568000000000,Pubblico,Si,IMG_2913,IMG_2912,3527.932930,"300",./0.png
"45",45.600822,10.188568,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,PUBBLIAREA,VIA GARDENIGA,,Cartello Art. 47 c.4,45.600822000000001,10.188568000000000,Pubblico,Si,IMG_2913,IMG_2912,2154.546405,"301",./0.png
"49",45.603413,10.194269,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,PUBBLIAREA,VIA della STELLA,PALO LUCE 1881,Cartello Art. 47 c.4,45.603413000000003,10.194269000000000,Pubblico,No,,IMG_2919,2206.991400,"360",./0.png
"49",45.603413,10.194269,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,PUBBLIAREA,VIA della STELLA,PALO LUCE 1881,Cartello Art. 47 c.4,45.603413000000003,10.194269000000000,Pubblico,No,,IMG_2919,697.912271,"361",./0.png
"49",45.603413,10.194269,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,PUBBLIAREA,VIA della STELLA,PALO LUCE 1881,Cartello Art. 47 c.4,45.603413000000003,10.194269000000000,Pubblico,No,,IMG_2919,2748.191515,"373",./0.png
"50",45.614286,10.195508,IMPIANTO DI FRECCE,sufficiente,Perpendicolare,Bifacciale,SCONOSCIUTA,VIA SORLINI Fronte n.c. 42,,Preinsegna Art. 47 c.2,45.614286000000000,10.195508000000000,Pubblico,No,,IMG_2920,2282.669789,"27",./0.png
"50",45.614286,10.195508,IMPIANTO DI FRECCE,sufficiente,Perpendicolare,Bifacciale,SCONOSCIUTA,VIA SORLINI Fronte n.c. 42,,Preinsegna Art. 47 c.2,45.614286000000000,10.195508000000000,Pubblico,No,,IMG_2920,547.039665,"29",./0.png
"57",45.601944,10.216331,IMPIANTO DI FRECCE,insufficiente,Perpendicolare,Bifacciale,SCONOSCIUTA,VIA SANGERVASIO   angolo  SEGNI VIA,,Preinsegna Art. 47 c.2,45.601944000000003,10.216331000000000,Pubblico,No,,IMG_2929,1712.619324,"288",./0.png
"58",45.601952,10.216350,IMPIANTO DI FRECCE,insufficiente,Perpendicolare,Bifacciale,SCONOSCIUTA,VIA SANGERVASIO   angolo  SEGNI VIA,,Preinsegna Art. 47 c.2,45.601951999999997,10.216350000000000,Pubblico,No,,IMG_2930,1712.619324,"288",./0.png
"59",45.601959,10.216366,IMPIANTO DI FRECCE,insufficiente,Perpendicolare,Bifacciale,SCONOSCIUTA,VIA SANGERVASIO   angolo  SEGNI VIA,,Preinsegna Art. 47 c.2,45.601959000000001,10.216366000000001,Pubblico,No,,IMG_2931,1712.619324,"288",./0.png
"61",45.588257,10.224854,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,SCONOSCIUTA,VIA ZANARDELLI Fronte n.c. 64,,Cartello Art. 47 c.4,45.588256999999999,10.224854000000001,Pubblico,No,,IMG_2933,1391.889463,"439",./0.png
"85",45.609271,10.206961,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,PUBBLIESSE,VIA della STELLA,PROVINCIALE 19,Cartello Art. 47 c.4,45.609271000000000,10.206961000000000,Pubblico,Si,IMG_3015,IMG_3014,28486.665283,"641",./0.png
"92",45.612467,10.207629,IMPIANTO DI FRECCE,sufficiente,Perpendicolare,Monofacciale,SCONOSCIUTA,VIA EUROPA Lato n.c. 280,PROVINCIALE 345,Preinsegna Art. 47 c.2,45.612467000000002,10.207629000000001,Pubblico,No,,IMG_3027,1343.146350,"500",./0.png
"96",45.614469,10.204804,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,POSTER,VIA EUROPA Lato n.c. 302,PROVINCIALE 345,Cartello Art. 47 c.4,45.614469000000000,10.204803999999999,Pubblico,Si,IMG_3035,IMG_3034,1959.694228,"476",./0.png
"102",45.616107,10.202932,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,PUBBLISTUDIO,VIA EUROPA Lato n.c. 339,PROVINCIALE 345,Cartello Art. 47 c.4,45.616107000000000,10.202932000000001,Pubblico,Si,IMG_3047,IMG_3046,5027.163584,"504",./0.png
"133",45.602208,10.219087,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,CANDI,VIA EUROPA Lato n.c. 117,PROVINCIALE 345,Cartello Art. 47 c.4,45.602207999999997,10.219087000000000,Pubblico,Si,IMG_3105,IMG_3104,4288.790133,"284",./0.png
"142",45.590297,10.225224,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,PUBBLILINE,VIA EUROPA Lato n.c. 20,PROVINCIALE 345,Cartello Art. 47 c.4,45.590297000000000,10.225224000000001,Pubblico,Si,IMG_3126,IMG_3125,5386.814853,"446",./0.png
"143",45.590040,10.225197,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,PUBBLIESSE,VIA EUROPA Lato n.c. 18,PROVINCIALE 345,Cartello Art. 47 c.4,45.590040000000002,10.225197000000000,Pubblico,Si,IMG_3130,IMG_3128,5386.814853,"446",./0.png
"144",45.590041,10.225026,CARTELLO PUBBLICITARIO,insufficiente,Parallelo,Monofacciale,PUBBLIESSE,VIA EUROPA  28,PROVINCIALE 345,Cartello Art. 47 c.4,45.590040999999999,10.225026000000000,Pubblico,Si,IMG_3132,IMG_3131,3729.274119,"445",./0.png
"155",45.594689,10.226122,IMPIANTO DI FRECCE,sufficiente,Parallelo,Monofacciale,SCONOSCIUTA,VIA NIKOLAJEWKA,RETRO CENTRO COMMERCIALE,Preinsegna Art. 47 c.2,45.594689000000002,10.226122000000000,Pubblico,No,,IMG_3157,28551.882952,"638",./0.png
"165",45.598174,10.223682,PENSILINA FERMATA BUS,sufficiente,Perpendicolare,Bifacciale,PUBLICITTA',VIA EUROPA Lato n.c. 106,PROVINCIALE 345,Di servizio Art. 47 c.7,45.598174000000000,10.223682000000000,Pubblico,Si,IMG_3173,IMG_3172,6190.901073,"431",./0.png
"166",45.598217,10.223660,PENSILINA FERMATA BUS,sufficiente,Perpendicolare,Bifacciale,PUBLICITTA',VIA EUROPA Lato n.c. 106,PROVINCIALE 345,Di servizio Art. 47 c.7,45.598216999999998,10.223660000000001,Pubblico,No,,IMG_3174,6190.901073,"431",./0.png
"174",45.602365,10.219195,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,PUBBLIESSE,VIA EUROPA Lato n.c. 144,PROVINCIALE 345,Cartello Art. 47 c.4,45.602364999999999,10.219194999999999,Pubblico,Si,IMG_3190,IMG_3188,4288.790133,"284",./0.png
"174",45.602365,10.219195,CARTELLO PUBBLICITARIO,sufficiente,Perpendicolare,Bifacciale,PUBBLIESSE,VIA EUROPA Lato n.c. 144,PROVINCIALE 345,Cartello Art. 47 c.4,45.602364999999999,10.219194999999999,Pubblico,Si,IMG_3190,IMG_3188,2148.132511,"491",./0.png
